Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
Pedacitosdeterror,195.0,41.2,1118.0,8000.0,17314,38.0,14300.0,0.0,https://twitchtracker.com/pedacitosdeterror
Arturonoblejas,147.0,73.0,695.0,10700.0,17340,477.0,9900.0,0.0,https://twitchtracker.com/arturonoblejas
Elvictorgg_,127.0,93.1,1704.0,11900.0,17362,408.0,24800.0,0.0,https://twitchtracker.com/elvictorgg_
Silencioshh,267.0,14.4,1555.0,3800.0,17363,2800.0,51900.0,0.0,https://twitchtracker.com/silencioshh
Elpapitank,60.0,260.9,2225.0,15700.0,17376,282.0,10200.0,0.0,https://twitchtracker.com/elpapitank
Auroraatria,123.0,97.7,1385.0,12000.0,17428,631.0,13100.0,0.0,https://twitchtracker.com/auroraatria
Yugioh_lat_24h,78.0,185.8,205.0,14600.0,17429,443.0,1600.0,0.0,https://twitchtracker.com/yugioh_lat_24h
Slend00,146.0,73.0,8949.0,10700.0,17439,-38.0,200000.0,1620000.0,https://twitchtracker.com/slend00
Egozetatv,146.0,72.7,341.0,10700.0,17451,612.0,1900.0,0.0,https://twitchtracker.com/egozetatv
Papabuyer,277.0,11.3,16257.0,3100.0,17460,188.0,424000.0,2080000.0,https://twitchtracker.com/papabuyer
Marcavalladolid,237.0,22.7,3013.0,5400.0,17480,36.0,7000.0,0.0,https://twitchtracker.com/marcavalladolid
5emperador,257.0,16.4,7295.0,4200.0,17501,94.0,54700.0,570000.0,https://twitchtracker.com/5emperador
Creativoenjapon,220.0,28.9,919.0,6400.0,17503,221.0,6100.0,0.0,https://twitchtracker.com/creativoenjapon
Enyus,160.0,60.9,2243.0,9800.0,17518,576.0,29400.0,0.0,https://twitchtracker.com/enyus
Huesoperro,138.0,80.1,493.0,11000.0,17525,907.0,3500.0,0.0,https://twitchtracker.com/huesoperro
Elcru,128.0,90.6,1490.0,11600.0,17534,676.0,70300.0,0.0,https://twitchtracker.com/elcru
Leoel1,189.0,42.5,2555.0,8000.0,17565,239.0,108000.0,0.0,https://twitchtracker.com/leoel1
Ayami2059,64.0,237.5,3073.0,15200.0,17577,105.0,21000.0,0.0,https://twitchtracker.com/ayami2059
Chinfiz,290.0,7.7,521.0,2200.0,17584,1200.0,1300.0,0.0,https://twitchtracker.com/chinfiz
Barra,93.0,145.4,2813.0,13500.0,17618,-125000.0,89500.0,680000.0,https://twitchtracker.com/barra
Eltoliin,129.0,88.3,295.0,11400.0,17637,607.0,8300.0,0.0,https://twitchtracker.com/eltoliin
Victoriarodrgzz,120.0,98.8,4122.0,11900.0,17646,44.0,41400.0,0.0,https://twitchtracker.com/victoriarodrgzz
Unluckyxiii,116.0,104.5,13659.0,12100.0,17649,-75700.0,239000.0,3350000.0,https://twitchtracker.com/unluckyxiii
Servidor225,61.0,251.6,318.0,15200.0,17654,861.0,1100.0,0.0,https://twitchtracker.com/servidor225
Sargentocharli,73.0,197.9,2312.0,14500.0,17672,33.0,58100.0,6540000.0,https://twitchtracker.com/sargentocharli
Muyayorp,163.0,57.3,653.0,9300.0,17685,961.0,4500.0,0.0,https://twitchtracker.com/muyayorp
Tammy_bb,147.0,69.7,1515.0,10300.0,17690,320.0,27000.0,0.0,https://twitchtracker.com/tammy_bb
Moaigr,232.0,23.1,3897.0,5400.0,17698,114.0,210000.0,1700000.0,https://twitchtracker.com/moaigr
Likamili,43.0,378.7,460.0,16200.0,17703,27.0,1300.0,0.0,https://twitchtracker.com/likamili
